sen_str,swapped_sen_str,leaf_rule
ꜥnḫ Ttꞽ m ḫt bn(ꞽ) m kꜣp ꞽm(.ꞽ) tꜣ,Ttꞽ ꜥnḫ m ḫt bn(ꞽ) m kꜣp ꞽm(.ꞽ) tꜣ,[0] -> [12] -> [14] -> [15]
ꞽ:nč̣ (⸗ꞽ) ḥr ⸗k ng(ꜣ.w) n(.ꞽ) kꜣ(.w) ꞽr ⸗k prꞽ.w,ꞽ:nč̣ (⸗ꞽ) ḥr ⸗k ng(ꜣ.w) n(.ꞽ) kꜣ(.w) ⸗k ꞽr prꞽ.w,[0] -> [12] -> [14] -> [15]
mṭw pśč̣.(w)t,pśč̣.(w)t mṭw,[0] -> [12] -> [14] -> [15]
ꞽꞽ.n ⸗f n ⸗k ꞽw.n ⸗f n ⸗k wḥꜥ ⸗f ḳꜣś.w ś:fḫḫ ⸗f nčč.w,⸗f ꞽꞽ.n n ⸗k ꞽw.n ⸗f n ⸗k wḥꜥ ⸗f ḳꜣś.w ś:fḫḫ ⸗f nčč.w,[0] -> [12] -> [14] -> [15]
rč̣.n ⸗f nč̣ čw nčr(.w),⸗f rč̣.n nč̣ čw nčr(.w),[0] -> [12] -> [14] -> [15]
m ⸗k ꞽr.tn Śtẖ ḥnꜥ Č̣ḥw.tꞽ śn(.wꞽ) ⸗k ꞽ:ḫm.w(ꞽ) rm(.w) čw,m ⸗k Śtẖ ḥnꜥ Č̣ḥw.tꞽ ꞽr.tn śn(.wꞽ) ⸗k ꞽ:ḫm.w(ꞽ) rm(.w) čw,[0] -> [12] -> [14] -> [15]
nm(ꞽ).n Ttꞽ P(ꞽ) č̣ꜣ.n ⸗f Knm.wt,nm(ꞽ).n Ttꞽ P(ꞽ) ⸗f č̣ꜣ.n Knm.wt,[0] -> [12] -> [14] -> [15]
śḳr t(ꞽ) n ⸗f tꜣ rṭ(.w) r p.t pr ⸗f ꞽm r p.t,t(ꞽ) śḳr n ⸗f tꜣ rṭ(.w) r p.t pr ⸗f ꞽm r p.t,[0] -> [12] -> [14] -> [15]
pr pśč̣.t(ꞽ),pśč̣.t(ꞽ) pr,[0] -> [12] -> [14] -> [15]
ꜥnḫ Ttꞽ m ꜥnḫ.t Šw ꞽm wnm Ttꞽ m wnm.t Tfnw.t ꞽm,ꜥnḫ Ttꞽ m Šw ꜥnḫ.t ꞽm wnm Ttꞽ m wnm.t Tfnw.t ꞽm,[0] -> [12] -> [14] -> [15]
ꞽw ⸗k ḫr (⸗ꞽ) ꞽw ⸗k ḫr (⸗ꞽ) ꞽw ⸗k ꜣ ḫr (⸗ꞽ) Ḥr.w ꞽś nč̣.n ⸗f ꞽt(ꞽ) ⸗f Wśr(.w) Ttꞽ pw wt(.ꞽ) Ꞽnp.w ⸗k,⸗k ꞽw ḫr (⸗ꞽ) ꞽw ⸗k ḫr (⸗ꞽ) ꞽw ⸗k ꜣ ḫr (⸗ꞽ) Ḥr.w ꞽś nč̣.n ⸗f ꞽt(ꞽ) ⸗f Wśr(.w) Ttꞽ pw wt(.ꞽ) Ꞽnp.w ⸗k,[0] -> [12] -> [14] -> [15]
nꞽ wnm.n ⸗f bw.t nw.ꞽ ꞽmr twr Śtẖ m(w)t,nꞽ wnm.n ⸗f bw.t nw.ꞽ ꞽmr Śtẖ twr m(w)t,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw ḫꜥ Rꜥw ꞽr ⸗k ṭwn Ḥr.w pśč̣.t ⸗f pč̣.(w)t r ꜣḫ pn pr m tꜣ šꜥ(.w) ṭp ḥꜣk(.w) śṭ,č̣(ṭ) mṭw Rꜥw ḫꜥ ꞽr ⸗k ṭwn Ḥr.w pśč̣.t ⸗f pč̣.(w)t r ꜣḫ pn pr m tꜣ šꜥ(.w) ṭp ḥꜣk(.w) śṭ,[0] -> [12] -> [14] -> [15]
śwt ś:č̣ꜣ.w ⸗f Ppy pn ꞽr gś pf ꜣḫ.t,śwt ⸗f ś:č̣ꜣ.w Ppy pn ꞽr gś pf ꜣḫ.t,[0] -> [12] -> [14] -> [15]
hꞽ Ꞽn pr.n ⸗č ꞽm ⸗f pr.n ⸗f ꞽm ⸗č,hꞽ Ꞽn ⸗č pr.n ꞽm ⸗f pr.n ⸗f ꞽm ⸗č,[0] -> [12] -> [14] -> [15]
nꞽ šm ⸗k,nꞽ ⸗k šm,[0] -> [12] -> [14] -> [15]
ꜥḥꜥ Wr,Wr ꜥḥꜥ,[0] -> [12] -> [14] -> [15]
ꞽw.n ⸗f ḫr ⸗č Wr.t ḥkꜣ(.w) wꜥb(.w) n ⸗č śnč̣(.w) n ⸗č,⸗f ꞽw.n ḫr ⸗č Wr.t ḥkꜣ(.w) wꜥb(.w) n ⸗č śnč̣(.w) n ⸗č,[0] -> [12] -> [14] -> [15]
č̣ꜣ t(ꞽ) č̣ꜣ.t Wnꞽś pn ꞽr gś ꞽꜣb.t(ꞽ) n(.ꞽ) ꜣḫ.t č̣ꜣ t(ꞽ) č̣ꜣ.t Wnꞽś pn ꞽr gś ꞽꜣb.t(ꞽ) n(.ꞽ) p.t,t(ꞽ) č̣ꜣ č̣ꜣ.t Wnꞽś pn ꞽr gś ꞽꜣb.t(ꞽ) n(.ꞽ) ꜣḫ.t č̣ꜣ t(ꞽ) č̣ꜣ.t Wnꞽś pn ꞽr gś ꞽꜣb.t(ꞽ) n(.ꞽ) p.t,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw m nḫb.t ꞽr.t Ḥr.w ꞽ:nśb.t ⸗śn,č̣(ṭ) mṭw m nḫb.t ꞽr.t Ḥr.w ⸗śn ꞽ:nśb.t,[0] -> [12] -> [14] -> [15]
sꞽ Wnꞽś pn sꞽ ⸗k,sꞽ Wnꞽś pn ⸗k sꞽ,[0] -> [12] -> [14] -> [15]
ḥtm ⸗k ꞽr.t ⸗k,⸗k ḥtm ꞽr.t ⸗k,[0] -> [12] -> [14] -> [15]
[ꞽw].n ⸗f ḫr ⸗k ꞽt(ꞽ) ⸗f ꞽw.n ⸗f ḫr ⸗k Rꜥw,[ꞽw].n ⸗f ḫr ⸗k ꞽt(ꞽ) ⸗f ⸗f ꞽw.n ḫr ⸗k Rꜥw,[0] -> [12] -> [14] -> [15]
ꞽ:ḥ(w) ⸗ś čw ꞽr ḥr ⸗k pꜣḫ ⸗ś čw ꞽr ꞽr.t(ꞽ) ⸗k,ꞽ:ḥ(w) ⸗ś čw ꞽr ḥr ⸗k ⸗ś pꜣḫ čw ꞽr ꞽr.t(ꞽ) ⸗k,[0] -> [12] -> [14] -> [15]
rč̣.n ⸗śn(ꞽ) čw n Ḥr.w ḥtp ⸗f ḥr ⸗k,⸗śn(ꞽ) rč̣.n čw n Ḥr.w ḥtp ⸗f ḥr ⸗k,[0] -> [12] -> [14] -> [15]
č̣i̯ ⸗k ꞽꜣḳ Wnꞽś pn pśč̣.t ḥtm ⸗f pśč̣.t,⸗k č̣i̯ ꞽꜣḳ Wnꞽś pn pśč̣.t ḥtm ⸗f pśč̣.t,[0] -> [12] -> [14] -> [15]
ṭḫ r ⸗śn rmč(.w) pꜣ.y r ⸗śn nčr(.w),rmč(.w) ṭḫ r ⸗śn pꜣ.y r ⸗śn nčr(.w),[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw wꜣč̣ šw nꞽ ꞽč.n Wnꞽś ꞽš.t ⸗f,č̣(ṭ) mṭw šw wꜣč̣ nꞽ ꞽč.n Wnꞽś ꞽš.t ⸗f,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw hꜣ Ppy Nfr-kꜣ-rꜥ pw ꞽꞽw.n (⸗ꞽ) ꞽn (⸗ꞽ) n ⸗k ꞽr.t Ḥr.w,č̣(ṭ) mṭw hꜣ Ppy Nfr-kꜣ-rꜥ pw ꞽꞽw.n (⸗ꞽ) (⸗ꞽ) ꞽn n ⸗k ꞽr.t Ḥr.w,[0] -> [12] -> [14] -> [15]
ḥtp ⸗č ḥr ꜥb.w ⸗f,⸗č ḥtp ḥr ꜥb.w ⸗f,[0] -> [12] -> [14] -> [15]
mr.n św Ḥr.w ꞽr ⸗k nꞽ wp.n ⸗f ꞽr ⸗k,mr.n św Ḥr.w ꞽr ⸗k nꞽ ⸗f wp.n ꞽr ⸗k,[0] -> [12] -> [14] -> [15]
wč̣ꜣ ꞽb ⸗k r šy,ꞽb ⸗k wč̣ꜣ r šy,[0] -> [12] -> [14] -> [15]
č̣ꜣ t(ꞽ) č̣ꜣu̯.t Ttꞽ ꞽm ꞽr gś pf ꞽꜣb.t(ꞽ) n(.ꞽ) p.t ꞽr bw mś.ꞽ św nčr(.w) ꞽm mś t(ꞽ) ⸗f mśw.t ꞽm mꜣ(.w) rnp.w,č̣ꜣ t(ꞽ) č̣ꜣu̯.t Ttꞽ ꞽm ꞽr gś pf ꞽꜣb.t(ꞽ) n(.ꞽ) p.t ꞽr bw mś.ꞽ św nčr(.w) ꞽm t(ꞽ) mś ⸗f mśw.t ꞽm mꜣ(.w) rnp.w,[0] -> [12] -> [14] -> [15]
č̣č̣ ⸗k ꜥw ⸗k ꞽr ꞽmn(.t) č̣č̣ ⸗k ꜥw ⸗k ꞽr Ttꞽ č̣č̣ ⸗k ꜥw ⸗k ꞽr ꞽꜣb.t č̣č̣ ⸗k ꜥw ⸗k ꞽr Ttꞽ mr nw ꞽr.n ⸗k n Bn.t(ꞽ) sꜣ ⸗k śmś.w,č̣č̣ ⸗k ꜥw ⸗k ꞽr ꞽmn(.t) č̣č̣ ⸗k ꜥw ⸗k ꞽr Ttꞽ č̣č̣ ⸗k ꜥw ⸗k ꞽr ꞽꜣb.t ⸗k č̣č̣ ꜥw ⸗k ꞽr Ttꞽ mr nw ꞽr.n ⸗k n Bn.t(ꞽ) sꜣ ⸗k śmś.w,[0] -> [12] -> [14] -> [15]
ꞽnꞽn.n čw Śtẖ nꞽ ꜥḥꜥ ⸗k,Śtẖ ꞽnꞽn.n čw nꞽ ꜥḥꜥ ⸗k,[0] -> [12] -> [14] -> [15]
Ḥr.w nꞽ śḫm.n ⸗k ꞽm ⸗f,Ḥr.w nꞽ ⸗k śḫm.n ꞽm ⸗f,[0] -> [12] -> [14] -> [15]
Wśr(.w) Wnꞽś m n ⸗k ꞽr.t Ḥr.w ḫnf.tn ⸗f | ḫnf.w ḥnw.t 4,Wśr(.w) Wnꞽś m n ⸗k ꞽr.t Ḥr.w ⸗f ḫnf.tn | ḫnf.w ḥnw.t 4,[0] -> [12] -> [14] -> [15]
sꞽ ⸗k sꞽ Wnꞽś pn,sꞽ ⸗k Wnꞽś pn sꞽ,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw hꜣ Wśr(.w) Ttꞽ pw rč̣.n n ⸗k Gbb ꞽr.t(ꞽ) ⸗k ḥtp ⸗k m ꞽr.t(ꞽ) wr pn ꞽm ⸗k,č̣(ṭ) mṭw hꜣ Wśr(.w) Ttꞽ pw rč̣.n n ⸗k Gbb ꞽr.t(ꞽ) ⸗k ⸗k ḥtp m ꞽr.t(ꞽ) wr pn ꞽm ⸗k,[0] -> [12] -> [14] -> [15]
ꜥḥꜥ r ⸗f Wr m ẖnw kꜣr ⸗f wꜣḥ ⸗f śꜥḥ ⸗f r tꜣ n Ttꞽ pn ꞽč.n Ttꞽ pn Ḥw śḫm Ttꞽ pn m Śꞽꜣ,Wr ꜥḥꜥ r ⸗f m ẖnw kꜣr ⸗f wꜣḥ ⸗f śꜥḥ ⸗f r tꜣ n Ttꞽ pn ꞽč.n Ttꞽ pn Ḥw śḫm Ttꞽ pn m Śꞽꜣ,[0] -> [12] -> [14] -> [15]
Wśr(.w) Wnꞽś m n ⸗k ꞽr.t Ḥr.w ḫw n ⸗k t(ꞽ) ⸗f ś(ꞽ) | tʾ wt 1,Wśr(.w) Wnꞽś m n ⸗k ꞽr.t Ḥr.w ḫw n ⸗k ⸗f t(ꞽ) ś(ꞽ) | tʾ wt 1,[0] -> [12] -> [14] -> [15]
ꞽw.n ⸗f ḫr ⸗k ꞽt(ꞽ) ⸗f [ꞽ]w.n ⸗f ḫr ⸗k Śmꜣ wr,⸗f ꞽw.n ḫr ⸗k ꞽt(ꞽ) ⸗f [ꞽ]w.n ⸗f ḫr ⸗k Śmꜣ wr,[0] -> [12] -> [14] -> [15]
ḥḳr Ttꞽ ḥḳr Rw.tꞽ,Ttꞽ ḥḳr ḥḳr Rw.tꞽ,[0] -> [12] -> [14] -> [15]
gm.y ⸗f m wꜣ.t ⸗f wnm ⸗f n ⸗f św mwmw,⸗f gm.y m wꜣ.t ⸗f wnm ⸗f n ⸗f św mwmw,[0] -> [12] -> [14] -> [15]
nṭbṭb ⸗f č̣i̯ ⸗f n Ttꞽ,nṭbṭb ⸗f ⸗f č̣i̯ n Ttꞽ,[0] -> [12] -> [14] -> [15]
ꞽ:nč̣ (⸗ꞽ) ḥr ⸗č m pꜣ ⸗f ḫpr ⸗f,ꞽ:nč̣ (⸗ꞽ) ḥr ⸗č m ⸗f pꜣ ḫpr ⸗f,[0] -> [12] -> [14] -> [15]
č̣i̯ ⸗č kꞽ.t Wnꞽś pn mr kꞽ.t ⸗č,⸗č č̣i̯ kꞽ.t Wnꞽś pn mr kꞽ.t ⸗č,[0] -> [12] -> [14] -> [15]
ꞽ:wn ḥr nčr n Wnꞽś,ḥr nčr ꞽ:wn n Wnꞽś,[0] -> [12] -> [14] -> [15]
ꞽꜥ ⸗k n p.t,⸗k ꞽꜥ n p.t,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw mꞽnn ⸗k m rn ⸗k n(.ꞽ) mnn.w gꜣꜣ ⸗k m rn ⸗k n(.ꞽ) Ꞽgꜣ.ꞽ n čwt ꞽś hpꞽ.w ḥr.ꞽ ẖ.t ⸗f ꜥnḫ m ḥꜣ.t(ꞽw) nčr(.w) ꞽpf ꞽm.(ꞽ)w Ꞽwn.w,č̣(ṭ) mṭw mꞽnn ⸗k m rn ⸗k n(.ꞽ) mnn.w ⸗k gꜣꜣ m rn ⸗k n(.ꞽ) Ꞽgꜣ.ꞽ n čwt ꞽś hpꞽ.w ḥr.ꞽ ẖ.t ⸗f ꜥnḫ m ḥꜣ.t(ꞽw) nčr(.w) ꞽpf ꞽm.(ꞽ)w Ꞽwn.w,[0] -> [12] -> [14] -> [15]
ꞽn n Wnꞽś Ꞽ:pꜣ ⸗ś ḫnn ⸗ś,ꞽn n Wnꞽś Ꞽ:pꜣ ⸗ś ⸗ś ḫnn,[0] -> [12] -> [14] -> [15]
(w)ṭ(.w) sḫn.w(ꞽ) p.t n Ppy pn č̣ꜣ ⸗f ꞽm ⸗śn ꞽr ꜣḫ.t ḫr Ḥr.w ꜣḫ.tꞽ,(w)ṭ(.w) sḫn.w(ꞽ) p.t n Ppy pn ⸗f č̣ꜣ ꞽm ⸗śn ꞽr ꜣḫ.t ḫr Ḥr.w ꜣḫ.tꞽ,[0] -> [12] -> [14] -> [15]
nčr(.w) ꞽpw č̣ꜣꜣ.w ṭp č̣nḥ Č̣ḥw.tꞽ ꞽr pf gś n(.ꞽ) Mr n(.ꞽ) ḫꜣ ꞽr gś ꞽꜣb.t(ꞽ) n(.ꞽ) p.t ꞽr mṭ(w).t ḫft Śtẖ ḥr ꞽr.t tw n.t Ḥr.w č̣ꜣ Ttꞽ ḥnꜥ ⸗čn ṭp č̣nḥ Č̣ḥw.tꞽ ꞽr pf gś n(.ꞽ) Mr n(.ꞽ) ḫꜣ ꞽr gś ꞽꜣb.t(ꞽ) n(.ꞽ) p.t,nčr(.w) ꞽpw č̣ꜣꜣ.w ṭp č̣nḥ Č̣ḥw.tꞽ ꞽr pf gś n(.ꞽ) Mr n(.ꞽ) ḫꜣ ꞽr gś ꞽꜣb.t(ꞽ) n(.ꞽ) p.t ꞽr mṭ(w).t ḫft Śtẖ ḥr ꞽr.t tw n.t Ḥr.w Ttꞽ ḥnꜥ ⸗čn č̣ꜣ ṭp č̣nḥ Č̣ḥw.tꞽ ꞽr pf gś n(.ꞽ) Mr n(.ꞽ) ḫꜣ ꞽr gś ꞽꜣb.t(ꞽ) n(.ꞽ) p.t,[0] -> [12] -> [14] -> [15]
hꜣ Wnꞽś ꞽ:ṭp ⸗k ṭp.t ⸗f ḫnt sẖ(.w) nčr(.w),hꜣ Wnꞽś ⸗k ꞽ:ṭp ṭp.t ⸗f ḫnt sẖ(.w) nčr(.w),[0] -> [12] -> [14] -> [15]
ꞽn<.n> n ⸗k Gbb Ḥr.w ꞽp ⸗f n ⸗k ꞽb(.w) ⸗śn,Gbb ꞽn<.n> n ⸗k Ḥr.w ꞽp ⸗f n ⸗k ꞽb(.w) ⸗śn,[0] -> [12] -> [14] -> [15]
wꜣč̣ ⸗č wꜣč̣ Ttꞽ [wꜣč̣] [ḥn] ꜥnḫ.w,wꜣč̣ ⸗č wꜣč̣ Ttꞽ [ḥn] ꜥnḫ.w [wꜣč̣],[0] -> [12] -> [14] -> [15]
sꞽ ⸗k sꞽ Wnꞽś pn,⸗k sꞽ sꞽ Wnꞽś pn,[0] -> [12] -> [14] -> [15]
ḫr Ḥr.w ḥr ꞽr.t ⸗f pꜣs Śtẖ ḥr ẖr.w(ꞽ) ⸗f,Ḥr.w ḫr ḥr ꞽr.t ⸗f pꜣs Śtẖ ḥr ẖr.w(ꞽ) ⸗f,[0] -> [12] -> [14] -> [15]
ḥ(w.w) ḫft.ꞽ ⸗k ꞽn mś.w Ḥr.w ś:ṭšr.n ⸗śn [ḥ(w).t] ⸗f ꞽ:ss.n ⸗śn św ꞽ:bḥn(.w) č̣w śč ⸗f,ḥ(w.w) ḫft.ꞽ ⸗k ꞽn mś.w Ḥr.w ⸗śn ś:ṭšr.n [ḥ(w).t] ⸗f ꞽ:ss.n ⸗śn św ꞽ:bḥn(.w) č̣w śč ⸗f,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw (ꞽ)wꜥ.n Wnꞽś Gbb (ꞽ)wꜥ.n Wnꞽś Gbb,č̣(ṭ) mṭw (ꞽ)wꜥ.n Wnꞽś Gbb Wnꞽś (ꞽ)wꜥ.n Gbb,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw nṭfṭf ꞽr.t Ḥr.w ḥr bꜣ.t č̣n.w,č̣(ṭ) mṭw ꞽr.t Ḥr.w nṭfṭf ḥr bꜣ.t č̣n.w,[0] -> [12] -> [14] -> [15]
nḫꞽ rn ⸗k ḫr r(m)č(.w) ḫpr rn ⸗k ḫr nčr(.w),nḫꞽ rn ⸗k ḫr r(m)č(.w) rn ⸗k ḫpr ḫr nčr(.w),[0] -> [12] -> [14] -> [15]
ꞽ(w) šw.tꞽ m gmḥś.w ꞽn.n św bꜣ ⸗f ḥtm.n św ḥkꜣ(.w) ⸗f,ꞽ(w) šw.tꞽ m gmḥś.w bꜣ ⸗f ꞽn.n św ḥtm.n św ḥkꜣ(.w) ⸗f,[0] -> [12] -> [14] -> [15]
ꞽr ⸗śn wꜣ.t n Wnꞽś ś:wꜣ Wnꞽś ꞽm ⸗ś Wnꞽś pꞽ Ḥr.w |,⸗śn ꞽr wꜣ.t n Wnꞽś ś:wꜣ Wnꞽś ꞽm ⸗ś Wnꞽś pꞽ Ḥr.w |,[0] -> [12] -> [14] -> [15]
ꜥḥꜥ ⸗k ḥr ś.(w)t Nꞽ.w,⸗k ꜥḥꜥ ḥr ś.(w)t Nꞽ.w,[0] -> [12] -> [14] -> [15]
nꞽ sš(ꜣ) ⸗f ꞽś m č̣bꜥ šrr,nꞽ ⸗f sš(ꜣ) ꞽś m č̣bꜥ šrr,[0] -> [12] -> [14] -> [15]
(ꞽ)m nhp ⸗f m ꜥw ⸗k,(ꞽ)m ⸗f nhp m ꜥw ⸗k,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw Wśr(.w) Ppy Nfr-kꜣ-rꜥ ꞽr.t tn tw n.t Ḥr.w ṭbḥ.tn ⸗f m ꜥw Śtẖ,č̣(ṭ) mṭw Wśr(.w) Ppy Nfr-kꜣ-rꜥ ꞽr.t tn tw n.t Ḥr.w ⸗f ṭbḥ.tn m ꜥw Śtẖ,[0] -> [12] -> [14] -> [15]
ꞽ:tm ⸗k ꞽr ⸗k č̣ꜣ(.w) Wnꞽś śčp ⸗f (w)ṭ ⸗f św ṭp č̣nḥ n(.ꞽ) Č̣ḥw.tꞽ,ꞽ:tm ⸗k ꞽr ⸗k č̣ꜣ(.w) Wnꞽś ⸗f śčp (w)ṭ ⸗f św ṭp č̣nḥ n(.ꞽ) Č̣ḥw.tꞽ,[0] -> [12] -> [14] -> [15]
rč̣.n ⸗f n ⸗k ś(ꞽ) bꜣ ⸗k ꞽm ⸗ś śḫm ⸗k ꞽm ⸗ś ḫnt ꜣḫ(.w),⸗f rč̣.n n ⸗k ś(ꞽ) bꜣ ⸗k ꞽm ⸗ś śḫm ⸗k ꞽm ⸗ś ḫnt ꜣḫ(.w),[0] -> [12] -> [14] -> [15]
